movieId,title,clean_title,genres,year,avg_rating,rating_count,tags
1,Toy Story (1995),Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,4.07,199,adventure animation children comedy fantasy adventure animation children comedy fantasy adventure animation children comedy fantasy decade1990
2,Jumanji (1995),Jumanji,Adventure|Children|Fantasy,1995,3.74,89,adventure children fantasy adventure children fantasy adventure children fantasy decade1990
3,Grumpier Old Men (1995),Grumpier Old Men,Comedy|Romance,1995,3.62,43,comedy romance comedy romance comedy romance decade1990
4,Waiting to Exhale (1995),Waiting to Exhale,Comedy|Drama|Romance,1995,3.0,4,comedy drama romance comedy drama romance comedy drama romance decade1990
5,Father of the Bride Part II (1995),Father of the Bride Part II,Comedy,1995,3.42,38,comedy comedy comedy decade1990
6,Heat (1995),Heat,Action|Crime|Thriller,1995,4.02,99,action crime thriller action crime thriller action crime thriller decade1990
7,Sabrina (1995),Sabrina,Comedy|Romance,1995,3.55,44,comedy romance comedy romance comedy romance decade1990
8,Tom and Huck (1995),Tom and Huck,Adventure|Children,1995,3.33,6,adventure children adventure children adventure children decade1990
9,Sudden Death (1995),Sudden Death,Action,1995,3.5,12,action action action decade1990
10,GoldenEye (1995),GoldenEye,Action|Adventure|Thriller,1995,3.69,118,action adventure thriller action adventure thriller action adventure thriller decade1990
11,"American President, The (1995)","American President, The",Comedy|Drama|Romance,1995,3.92,60,comedy drama romance comedy drama romance comedy drama romance decade1990
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,Comedy|Horror,1995,3.45,10,comedy horror comedy horror comedy horror decade1990
13,Balto (1995),Balto,Adventure|Animation|Children,1995,3.29,7,adventure animation children adventure animation children adventure animation children decade1990
14,Nixon (1995),Nixon,Drama,1995,3.83,18,drama drama drama decade1990
15,Cutthroat Island (1995),Cutthroat Island,Action|Adventure|Romance,1995,3.81,8,action adventure romance action adventure romance action adventure romance decade1990
16,Casino (1995),Casino,Crime|Drama,1995,4.11,75,crime drama crime drama crime drama decade1990
17,Sense and Sensibility (1995),Sense and Sensibility,Drama|Romance,1995,4.05,61,drama romance drama romance drama romance decade1990
18,Four Rooms (1995),Four Rooms,Comedy,1995,3.89,18,comedy comedy comedy decade1990
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,Comedy,1995,3.6,46,comedy comedy comedy decade1990
20,Money Train (1995),Money Train,Action|Comedy|Crime|Drama|Thriller,1995,3.43,7,action comedy crime drama thriller action comedy crime drama thriller action comedy crime drama thriller decade1990
21,Get Shorty (1995),Get Shorty,Comedy|Crime|Thriller,1995,3.73,77,comedy crime thriller comedy crime thriller comedy crime thriller decade1990
22,Copycat (1995),Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,3.44,31,crime drama horror mystery thriller crime drama horror mystery thriller crime drama horror mystery thriller decade1990
23,Assassins (1995),Assassins,Action|Crime|Thriller,1995,3.62,12,action crime thriller action crime thriller action crime thriller decade1990
24,Powder (1995),Powder,Drama|Sci-Fi,1995,3.69,18,drama scifi drama scifi drama scifi decade1990
25,Leaving Las Vegas (1995),Leaving Las Vegas,Drama|Romance,1995,4.01,63,drama romance drama romance drama romance decade1990
26,Othello (1995),Othello,Drama,1995,3.68,11,drama drama drama decade1990
27,Now and Then (1995),Now and Then,Children|Drama,1995,3.92,6,children drama children drama children drama decade1990
